ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
1342,Electrical Engineering,Male,Pakistani,KPK,6th,Matric,Below Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,88,78,2.26,2.35,2.1,D,2.24,D,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,3,1,1,1,1,1,1,2,3,3,1,1,1,1,5,5,5,5,5,5,5,1,1,3,1,3,3,4,1,4,4,1,1,1,4,1,1,2,1,1,1,1,Independent study,Late night,3~4 hours,
1343,Electrical Engineering,Male,Pakistani,Punjab,6th,Below Matric,Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,84,90,2.65,2.9,3,B,2.85,C,Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,3,3,4,3,3,4,4,1,5,5,3,3,3,3,4,4,2,3,5,3,5,2,4,3,3,4,4,3,4,3,2,4,4,4,4,4,4,3,4,3,3,4,Independent study,Day time,5~6 hours,
1344,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,MS,Intermediate,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,81,68.54,2.45,2.4,0.91,E,1.93,E,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,4,5,4,4,4,4,5,1,4,4,5,4,2,4,5,4,5,4,4,4,4,3,5,5,4,3,3,2,2,4,4,2,2,2,3,2,3,3,5,4,5,5,Group study,Late night,3~4 hours,
1345,Electrical Engineering,Male,Pakistani,Punjab,6th,BS,Matric,Below 30K,NO,NO,1,Matric,FSc/ ICS,77.45,72.91,2.59,2.5,2.18,D,2.43,D,Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,4,4,4,4,4,3,2,2,4,1,2,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,1,1,5,1,5,5,5,5,1,5,5,5,5,5,3,Group study,Late night,5~6 hours,
1346,Electrical Engineering,Male,Pakistani,Punjab,6th,BS,BS,Below 30K,NO,NO,3,Matric,FSc/ ICS,88.88,87.67,3.31,3.06,3.06,B,3.14,B,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,1,1,2,2,2,2,2,2,3,3,3,4,2,4,4,3,5,3,3,3,5,3,4,3,4,3,1,3,3,3,3,2,3,2,3,2,5,4,2,3,4,2,Independent study,Day time,3~4 hours,
1347,Electrical Engineering,Male,Pakistani,Punjab,6th,MS,Intermediate,Between 2Lac~3Lac,NO,NO,3,Cambridge,FSc/ ICS,74,71,2.48,2,1.61,E,2.03,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,3,2,4,3,4,3,4,4,2,3,3,3,4,3,4,5,5,5,5,5,5,5,4,4,5,5,4,5,1,2,3,1,4,2,1,3,2,4,4,2,5,3,3,Group study,Late night,5~6 hours,
1348,Electrical Engineering,Female,Pakistani,Punjab,6th,BS,BS,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,86,83,2.5,2.6,2.4,D,2.50,C,Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,4,3,2,3,2,2,1,5,5,4,4,1,5,4,4,4,3,5,5,4,5,5,5,5,4,4,2,2,4,3,4,3,4,4,4,5,3,5,2,5,4,Independent study,Day time,5~6 hours,
1349,Computer Science,Male,Pakistani,Punjab,8th,Intermediate,BS,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,82,65,3.45,2.9,2.8,C,3.05,B,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,3,3,3,3,3,3,2,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1,3,3,3,1,1,3,3,3,3,3,3,3,3,Independent study,Day time,1~2 hours,
1350,Electrical Engineering,Male,Pakistani,Balochistan,6th,MS,Below Matric,Between 30K~50K,YES,YES,5,Matric,FSc/ ICS,76,63,2.46,3.19,2.76,C,2.81,C,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,1,4,2,3,2,3,3,2,2,1,5,2,4,4,5,2,2,4,2,2,2,5,2,1,5,2,4,2,4,2,3,3,3,3,3,3,1,5,5,5,4,4,1,Independent study,Late night,3~4 hours,
1351,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,Matric,BS,Between 30K~50K,YES,YES,5,Matric,FSc/ ICS,80.8,91.2,2.93,3.02,2.65,C,2.87,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,1,2,3,1,1,1,1,1,4,1,3,3,3,3,3,3,3,3,4,2,2,1,1,1,3,1,1,2,2,4,3,1,1,4,1,4,4,4,3,2,2,2,Independent study,Late night,5~6 hours,
1352,Electrical Engineering,Female,Pakistani,Punjab,6th,Intermediate,BS,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,86,84,2.96,2.63,2.4,D,2.66,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,2,3,2,4,3,5,2,3,3,1,4,3,4,5,5,5,5,3,4,5,4,4,3,3,5,5,2,1,2,4,2,2,4,3,4,5,4,5,5,5,5,Independent study,Day time,3~4 hours,
1353,Electrical Engineering,Male,Pakistani,Punjab,6th,Intermediate,Matric,Between 1Lac~2Lac,YES,NO,2,Matric,FSc/ ICS,78,65,2.52,2.68,1.4,E,2.21,D,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,4,2,4,2,4,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Late night,5~6 hours,
1354,Electrical Engineering,Female,Pakistani,International,6th,BS,Intermediate,Between 2Lac~3Lac,NO,NO,2,Matric,FSc/ ICS,93.3,89.9,2.78,3.24,2.11,D,2.72,C,English,Mix of both whiteboard and power point,First row,1 hour,Female instructor,Not more than 30,I take notes during lecture,2,3,4,4,3,4,3,3,2,3,3,2,3,3,2,5,5,5,5,5,5,5,4,3,3,5,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5,Independent study,Late night,5~6 hours,
1355,Electrical Engineering,Male,Pakistani,Punjab,6th,Intermediate,Intermediate,Between 50K~1Lac,YES,NO,4,Matric,FSc/ ICS,91.9,87.27,3.19,2.98,2.45,D,2.88,C,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,5,3,2,5,2,3,3,4,1,4,2,4,2,5,3,4,4,4,2,4,5,4,2,2,2,3,2,2,4,2,4,3,2,2,4,4,2,4,4,4,3,2,2,Independent study,Late night,3~4 hours,
1356,Electrical Engineering,Female,Pakistani,Sindh,6th,PhD/ Doctor,PhD/ Doctor,Between 30K~50K,NO,NO,3,Cambridge,A-Level,80,79,3.54,3.82,3.62,A,3.66,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,3,4,3,3,3,3,1,5,5,3,4,4,5,4,3,4,4,4,4,4,3,3,2,4,4,5,4,4,4,4,4,4,4,4,3,4,2,3,4,3,4,Independent study,Day time,3~4 hours,
1357,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,BS,MS,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,88.76,78.31,3.3,2.5,1.67,E,2.49,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,4,3,3,3,3,3,3,1,3,5,2,3,2,3,4,4,4,4,2,4,4,4,3,3,4,3,4,2,2,3,3,3,3,3,3,3,5,4,4,3,3,3,Group study,Late night,5~6 hours,
1358,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,BS,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,82.63,84.18,3.31,3.26,3.12,B,3.23,B,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,2,3,2,2,5,2,3,1,5,4,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,2,3,5,5,4,5,5,5,4,5,4,5,4,4,4,5,4,Independent study,Day time,5~6 hours,
1359,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,MS,PhD/ Doctor,Above 3Lac,YES,NO,3,Matric,FSc/ ICS,90,75,2.8,3,2.9,C,2.90,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 30,I take notes during lecture,2,1,2,4,2,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,4,3,5,1,1,4,4,2,2,1,1,3,5,5,4,1,3,2,Independent study,Day time,3~4 hours,
1360,Electrical Engineering,Male,Pakistani,KPK,6th,Matric,Below Matric,Between 50K~1Lac,YES,NO,4,Matric,FSc/ ICS,85,80,2.41,2.49,2.36,D,2.42,D,Urdu,Whiteboard,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,3,3,3,3,4,3,4,3,2,2,2,3,5,5,5,5,5,4,4,4,5,5,4,3,3,3,3,4,3,2,2,5,3,3,3,3,3,5,1,5,5,5,2,Group study,Late night,1~2 hours,
1361,Electrical Engineering,Male,Pakistani,Punjab,6th,MS,Matric,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,67,70,3.15,2.7,2.6,C,2.81,C,Urdu,Mix of both whiteboard and power point,Last row,1 hour,Male instructor,Not more than 30,Notes taking has no relation with my academic performance,1,3,3,3,3,3,3,3,1,5,5,1,3,1,1,5,5,5,5,5,5,5,3,3,5,4,5,5,1,1,4,5,1,1,3,3,1,5,1,4,5,5,3,Independent study,Late night,1~2 hours,
1362,Electrical Engineering,Female,Pakistani,Punjab,6th,BS,MS,Between 50K~1Lac,YES,NO,3,Matric,FSc/ ICS,90,80,3.02,2.67,2.3,D,2.66,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,5,4,4,3,4,3,3,1,5,3,3,4,4,4,3,3,3,3,4,4,5,5,3,1,5,4,4,5,5,5,5,5,4,5,5,3,5,2,5,5,4,5,Independent study,Day time,3~4 hours,
1363,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,BS,Below Matric,Above 3Lac,NO,NO,3,Matric,FSc/ ICS,86,82,3.19,3.61,2.8,C,3.21,B,Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,3,3,1,2,2,2,1,2,2,5,5,3,5,5,5,5,5,1,4,5,1,1,4,1,1,1,5,1,5,5,5,4,3,4,2,5,3,5,5,5,2,Independent study,Late night,More than 8 hours,
1364,Electrical Engineering,Male,Pakistani,KPK,6th,Matric,Below Matric,Between 50K~1Lac,YES,NO,3,Matric,FSc/ ICS,84.8,72,2.72,2.92,3,B,2.88,C,Mix of both English and Urdu,Whiteboard,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,2,2,2,2,5,5,2,2,1,1,1,4,4,4,5,5,5,5,5,5,5,1,1,5,5,5,5,1,1,4,5,2,4,4,4,4,4,1,4,4,1,1,Independent study,Day time,1~2 hours,
1365,Electrical Engineering,Male,Pakistani,International,6th,Intermediate,Below Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,82,81,2.5,2.8,2.4,D,2.57,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Female instructor,Not more than 30,I take notes during lecture,1,5,1,1,1,2,1,3,1,5,5,2,4,3,5,4,1,2,2,2,2,5,2,2,2,5,4,2,5,2,5,4,4,5,3,4,4,5,5,2,2,3,2,Independent study,Late night,3~4 hours,
1366,Electrical Engineering,Female,Pakistani,Punjab,6th,Matric,Intermediate,Between 50K~1Lac,NO,YES,1,Matric,FSc/ ICS,90,92.8,2.86,3.18,2.98,C,3.01,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,4,3,4,5,3,3,2,4,3,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,5,4,4,4,4,4,4,4,3,5,4,4,4,4,4,Group study,Late night,1~2 hours,
1367,Electrical Engineering,Male,Pakistani,Federal/ Capital,6th,Intermediate,Below Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,84,74,2.3,2.3,2.39,D,2.33,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,3,4,3,4,2,2,1,2,1,5,4,4,4,4,5,5,5,5,4,5,3,5,4,2,2,5,3,3,5,5,5,5,5,5,5,5,2,3,1,4,5,2,2,Independent study,Late night,3~4 hours,
1368,Electrical Engineering,Male,Pakistani,Punjab,6th,PhD/ Doctor,MS,Between 2Lac~3Lac,NO,NO,2,Matric,FSc/ ICS,82,75,3.02,3.18,2.47,D,2.90,C,English,Power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,4,4,4,4,3,3,3,1,5,5,3,3,3,3,4,4,4,4,4,4,4,1,1,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Late night,5~6 hours,
1369,Electrical Engineering,Female,Pakistani,Punjab,6th,MS,BS,Between 2Lac~3Lac,YES,NO,5,Matric,FSc/ ICS,93.09,81.5,2.89,3.15,2.4,D,2.82,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,1,2,1,1,1,1,1,1,5,5,3,4,4,5,4,2,2,2,5,2,4,2,1,4,5,5,5,5,1,5,3,5,1,5,1,4,5,4,5,5,4,2,Independent study,Late night,1~2 hours,
1370,Electrical Engineering,Male,Pakistani,Punjab,6th,PhD/ Doctor,MS,Above 3Lac,YES,NO,3,Cambridge,A-Level,71,68,3.26,3.26,2.94,C,3.16,B,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,Notes taking has no relation with my academic performance,4,5,3,4,3,3,2,4,2,3,3,1,2,1,2,3,3,3,4,3,4,5,3,4,4,4,4,4,5,4,5,4,2,3,4,5,4,3,2,5,4,2,5,Independent study,Late night,3~4 hours,
1371,Electrical Engineering,Male,Pakistani,Punjab,6th,MS,MS,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,87.45,70.8,2.7,2.67,2.15,D,2.51,C,Mix of both English and Urdu,Whiteboard,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,1,4,3,3,4,4,5,3,2,2,2,3,3,4,3,2,2,2,2,4,3,2,2,2,2,4,3,3,4,3,4,3,4,3,4,4,4,5,3,2,4,3,4,Group study,Late night,3~4 hours,
1372,Mechanical Engineering,Male,Pakistani,Punjab,8th,BS,MS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,87.72,86.36,2.71,1.88,2.22,D,2.26,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,3,3,3,3,3,3,1,4,4,4,4,4,4,3,3,3,3,4,3,3,2,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,Group study,Day time,3~4 hours,
1373,Material Science Engineering,Male,Pakistani,Punjab,8th,Intermediate,Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,82,80,2.34,3.14,3.37,B,2.95,C,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,3,2,2,1,1,1,2,2,4,3,4,3,4,3,2,2,1,4,1,3,1,4,4,5,3,4,4,3,3,5,5,4,5,5,2,5,2,4,5,2,3,Independent study,Day time,5~6 hours,
1374,Material Science Engineering,Male,Pakistani,Punjab,8th,MS,MS,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,93.09,82.03,2.78,2.1,2.2,D,2.35,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,3,4,3,4,4,4,4,2,3,3,4,3,3,4,4,4,3,4,4,4,3,3,4,3,2,2,2,2,Group study,Late night,3~4 hours,
1375,Material Science Engineering,Male,Pakistani,Punjab,8th,MS,BS,Between 1Lac~2Lac,YES,NO,3,Matric,FSc/ ICS,93,83,2.78,3.4,2.92,C,3.04,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,2,2,2,2,2,2,1,4,5,4,4,5,4,4,4,5,3,4,5,5,2,4,5,4,2,3,4,2,5,5,3,4,5,5,3,4,2,3,2,3,2,Group study,Late night,3~4 hours,
1376,Material Science Engineering,Male,Pakistani,Punjab,8th,Intermediate,Below Matric,Between 30K~50K,NO,YES,3,Matric,FSc/ ICS,91,89.6,2.69,2.73,2.79,C,2.74,C,Language does not effect my performance,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,4,4,4,4,4,4,4,2,5,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,Group study,Late night,5~6 hours,
1377,Material Science Engineering,Male,Pakistani,Punjab,8th,BS,BS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,92,80,2.71,2.89,3.02,B,2.87,C,Mix of both English and Urdu,Power point,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,4,4,2,2,3,1,4,2,1,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,1,2,1,1,1,2,4,4,3,4,1,4,4,4,5,Independent study,Day time,3~4 hours,
1378,Material Science Engineering,Male,Pakistani,Federal/ Capital,8th,BS,Below Matric,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,88,81,3.37,2.5,2.33,D,2.73,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Last row,1 hour,Male instructor,Not more than 30,Only understand the concepts without noting them down,3,4,4,3,3,4,4,2,1,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,3,Group study,Day time,1~2 hours,
1379,Material Science Engineering,Male,Pakistani,Punjab,8th,Matric,Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,89.99,79.8,2.18,2.11,2.88,C,2.38,D,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Male instructor,Not more than 30,I take notes during lecture,5,3,4,2,2,4,2,4,2,2,1,5,4,5,5,4,4,4,4,4,4,4,3,2,2,2,2,2,4,5,5,5,5,5,5,5,3,5,4,2,1,3,5,Group study,Late night,3~4 hours,
1380,Material Science Engineering,Female,Pakistani,Punjab,8th,Intermediate,MS,Between 1Lac~2Lac,NO,YES,3,Matric,FSc/ ICS,94,84,2.7,3.1,3.2,B,3.00,B,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,2,2,2,2,2,1,1,1,2,4,4,4,4,4,4,4,4,4,3,4,4,1,2,4,3,3,4,4,3,4,5,5,5,5,5,2,5,3,3,2,3,3,Group study,Day time,5~6 hours,
1381,Material Science Engineering,Female,Pakistani,Punjab,8th,Intermediate,BS,Between 2Lac~3Lac,NO,NO,3,Matric,FSc/ ICS,92,86,2.78,2.78,3.45,B,3.00,C,Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,3,4,2,4,5,2,4,1,4,5,5,3,5,3,4,5,5,5,5,4,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,2,4,5,4,4,Independent study,Late night,3~4 hours,
1382,Material Science Engineering,Female,Pakistani,Federal/ Capital,8th,BS,BS,Between 1Lac~2Lac,NO,NO,4,Matric,FSc/ ICS,88,79.63,2.89,3.41,3.45,B,3.25,B,English,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,2,3,2,2,2,2,2,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,Independent study,Late night,3~4 hours,
1383,Material Science Engineering,Male,Pakistani,Punjab,8th,MS,MS,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,90.54,84.27,3.2,2.91,3.2,B,3.10,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,1,3,3,4,3,4,2,2,2,4,5,1,1,5,3,5,5,2,1,5,5,5,3,4,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,2,Independent study,Late night,3~4 hours,
1384,Material Science Engineering,Male,Pakistani,KPK,8th,MS,Matric,Between 1Lac~2Lac,NO,NO,2,Matric,FSc/ ICS,90,82.27,2.7,2.69,3.24,B,2.87,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,3,4,3,2,4,2,3,2,2,3,2,4,4,4,4,3,4,4,4,4,4,5,4,4,5,4,4,5,4,5,4,5,3,5,4,3,4,2,3,3,2,3,Independent study,Late night,5~6 hours,
1385,Material Science Engineering,Male,Pakistani,Punjab,8th,Intermediate,Intermediate,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,89.09,82,2.51,2.49,2.5,C,2.50,D,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,2,2,2,3,3,1,3,2,1,1,5,5,5,5,4,4,4,4,5,4,5,5,5,4,4,3,3,4,4,4,3,5,3,5,5,2,5,4,4,4,3,2,Independent study,Late night,5~6 hours,
1386,Material Science Engineering,Male,Pakistani,Sindh,8th,Intermediate,Intermediate,Above 3Lac,NO,NO,3,Matric,FSc/ ICS,83.21,74.4,2.84,2.79,3.06,B,2.89,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Male instructor,Not more than 30,I take notes during lecture,4,3,5,3,2,4,2,4,2,3,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,5,5,2,5,2,3,3,3,1,Independent study,Late night,3~4 hours,
1387,Material Science Engineering,Female,Pakistani,Punjab,8th,BS,BS,Between 2Lac~3Lac,NO,NO,2,Matric,FSc/ ICS,91.23,81.47,2.97,2.89,3.01,B,2.96,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,5,2,2,2,2,2,2,2,2,4,4,2,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,5,3,5,4,4,4,Independent study,Late night,7~8 hours,
